+-------+-----+-----+-----+-----+-----+--------+----------------------------------------------+--------+--------+--------+--------+--------+--------+--------+--------+-----------+------------+--------------+-----------+
| COUNT | 1XX | 2XX | 3XX | 4XX | 5XX | METHOD |                     URI                      |  MIN   |  MAX   |  SUM   |  AVG   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY) | MAX(BODY)  |  SUM(BODY)   | AVG(BODY) |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7513/livecomment             | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 1657.000  | 1657.000   | 1657.000     | 1657.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7513/livecomment             | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 0.000  | 1755.000  | 1755.000   | 1755.000     | 1755.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7513/livecomment/1004/report | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.012  | 0.000  | 2342.000  | 2342.000   | 2342.000     | 2342.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/livestream/7506/ngwords                 | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.004  | 0.000  | 5.000     | 5.000      | 5.000        | 5.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7557/enter                   | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.024  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | DELETE | /api/livestream/7539/exit                    | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.016  | 0.000  | 0.000     | 0.000      | 0.000        | 0.000     |
| 1     | 0   | 1   | 0   | 0   | 0   | POST   | /api/livestream/7506/moderate                | 0.288  | 0.288  | 0.288  | 0.288  | 0.288  | 0.288  | 0.288  | 0.000  | 23.000    | 23.000     | 23.000       | 23.000    |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/kenichinakamura0/icon              | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.032  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/yosuke490/icon                     | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.020  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/lfujii0/icon                       | 0.260  | 0.260  | 0.260  | 0.260  | 0.260  | 0.260  | 0.260  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/asuzuki0/icon                      | 0.360  | 0.360  | 0.360  | 0.360  | 0.360  | 0.360  | 0.360  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
| 1     | 0   | 1   | 0   | 0   | 0   | GET    | /api/user/chiyo810/icon                      | 0.596  | 0.596  | 0.596  | 0.596  | 0.596  | 0.596  | 0.596  | 0.000  | 6969.000  | 6969.000   | 6969.000     | 6969.000  |
